Precio UF,N Habitaciones,Area m2,N Baños,Comuna,Provincia,Amueblado,Gastos Comunes,Área útil,Estacionamiento,m2 terreno,Enlace,Año de construcción,Agua,Aire Acondicionado,Alarma,Bodega,Chimenea,Placares,Cocina Equipada,Terraza,Portero,Centros comerciales,Cerca de Escuelas,Cocina Integrada,Electricidad,Internet,Patio,Aseos,Piscina,Quincho,Cerca de estación de tren,Calefacción,Jacuzzi,Jardín,Estado de conservación,Gas Natural,Área juegos infantiles,Gimnasio,Seguridad 24 horas,Vista panorámica,Balcón,Pieza de Servicio,Acceso a discapacitados,Cancha de Tenis,Nivel,Sólo familias,Sauna,Ascensor
14.000,1,68,2,Zapallar,Petorca,,,,True,108,https://www.icasas.cl/propiedad/43d2-8d11-1952b9c-dccaeed1f099-7f77,,True,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,2,,,
"6.294,24",3,110,2,Puchuncaví,Valparaíso,,,,True,1.200,https://www.icasas.cl/propiedad/8924-99fb-280092ce-319a8099dd7a-39ae,,,,,,,,,,,,,,True,True,True,,,True,,,,,,True,,,,,,,,,1,,,
16.300,5,309,4,Viña del Mar,Valparaíso,,,,True,517,https://www.icasas.cl/propiedad/f8ee-a4e6-e270f19a-e0bb8a5af6c-477a,,True,,,True,,,,True,,True,True,,True,,True,,,,,True,,True,,True,,,,,,,,,,,,
18.500,5,200,4,Zapallar,Petorca,,,,True,900,https://www.icasas.cl/propiedad/67a2-948f-426416ef-5f836fc80ad2-33bd,,,,,,,,,True,,,,,True,,True,,,True,,,,,,,,,True,,True,,,True,,,,
7.750,3,130,3,Puchuncaví,Valparaíso,,,,,900,https://www.icasas.cl/propiedad/1263-8155-19b0b40-f4ab48f1c3d8-7917,,True,,,,True,,,,,,,,True,True,True,,,True,,,,,,True,,,True,,,,,,1,,,
6.300,6,200,3,Limache,Marga Marga,,,,True,3.000,https://www.icasas.cl/propiedad/9570-ae4f-5112ac1-1ffba2c0d03-5038,,,,,True,,,,True,,,,,,,True,,True,True,,,,True,,,True,,,,,,,,,,,
7.600,3,50,1,Zapallar,Petorca,,,,True,280,https://www.icasas.cl/propiedad/a619-b180-1956440-b7cccbaa6044-7c11,,,,,,,,,,,,,,True,,,,,,,,,True,,,,,,,,,,,1,,,
25.000,3,140,3,Zapallar,Petorca,,,,True,140,https://www.icasas.cl/propiedad/d994-b90f-1993be0-3fd31d196437-7dc5,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
11.000,3,100,3,Santo Domingo,San Antonio,Sin amueblar,,100,True,1.000,https://www.icasas.cl/propiedad/c027-92f6-198c20d-57cb5840b54e-72e1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,: Flotante,,,
22.000,7,301,5,Zapallar,Petorca,,,,,5.000,https://www.icasas.cl/propiedad/714928,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
6.900,3,140,2,Zapallar,Petorca,,,,,210,https://www.icasas.cl/propiedad/764921,,True,,,,,,,,,,,,True,True,True,,,,,,,,,True,,,,,,,,,,,,
14.800,3,,4,Puchuncaví,Valparaíso,,: true,,True,,https://www.icasas.cl/propiedad/eb71-b1e9-196b824-e64fd3c2a3db-7c87,,,,,,,,,,,,,,True,True,True,,,,,,,,,True,,,,,True,,,,3,,,
17.000,3,100,2,Puchuncaví,Valparaíso,,,,True,780,https://www.icasas.cl/propiedad/82f3-bd2c-1941fc7-a8d5e25f5105-7f5b,,,,,,,,,True,,,,,True,True,,,,True,,,,,,,,,,,,,,,,,,
7.800,3,100,2,Zapallar,Petorca,,,,,300,https://www.icasas.cl/propiedad/647c-b9b7-1958d74-f7d1f0b5e252-7534,,True,,,,,,,,,,,,True,True,True,,,,,,,,,,,,,,,,,,,,,
6.850,2,50,1,Zapallar,Petorca,,,,True,100,https://www.icasas.cl/propiedad/d092-bfd6-4c188f73-a0dd199da50e-3d05,,,,,,,,,,,,,,True,,True,,,,,,,,,,,,,,,,,,2,,,
10.500,3,84,2,Zapallar,Petorca,,,,True,290,https://www.icasas.cl/propiedad/7328-8df4-1952674-f02479913678-70bf,,,,,,,,,True,,,,,True,,,,,,,,,,,,,,,,,,,,1,,,
11.400,4,140,2,Puchuncaví,Valparaíso,,,,True,1.200,https://www.icasas.cl/propiedad/896330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
10.700,3,58,1,Zapallar,Petorca,,,,,300,https://www.icasas.cl/propiedad/888673,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,1,,,
4.181,4,78,3,Valparaíso,Valparaíso,,,,,,https://www.icasas.cl/propiedad/db4f-9231-196b73b-c7232a2a09f2-731a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.500,4,76,2,Puchuncaví,Valparaíso,,,,True,300,https://www.icasas.cl/propiedad/400e-acad-1914ecc-9f0c8a9e9a2b-745d,,,,,,,,,True,,,,,True,True,True,,,,,,,True,,True,,,,,,,,,,,,
20.000,10,1.000,8,Puchuncaví,Valparaíso,,,,True,1.000,https://www.icasas.cl/propiedad/1247140,,,,,,,,,,,,,,True,True,True,,,True,,,,,,,,,,,,,,,,,,
16.800,3,,4,Puchuncaví,Valparaíso,,,,True,,https://www.icasas.cl/propiedad/ff3e-c020-196bd4a-36c4c455e4f8-76b0,,True,,,,,,,,,,,,True,True,True,,,,,True,,True,,True,,,True,,,,,,,,,
"5.413,05",3,150,3,Quilpué,Valparaíso,,,,True,500,https://www.icasas.cl/propiedad/c7a6-bf9b-c00a47b6-e218c90d6f1-4fc4,,,,,,,,,,,True,,,,,True,,,,,,,,,,,,,,,,,,,,,
9.000,4,120,2,Zapallar,Petorca,,,,True,290,https://www.icasas.cl/propiedad/970a-851c-1949642-d7e229b43dd7-71ef,,,,,,,,,,,,,,True,,,,,,,,,True,,,,,,,,,,,,,,
8.600,3,46,1,Zapallar,Petorca,,,,True,160,https://www.icasas.cl/propiedad/715636,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
19.000,6,341,6,Puchuncaví,Valparaíso,,,,True,1.055,https://www.icasas.cl/propiedad/652734,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,2,,,
4.124,3,85,2,El Quisco,San Antonio,Sin amueblar,: true,85,True,108,https://www.icasas.cl/propiedad/98ba-9c78-19bdb5b-e1c02ade1559-7f55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.700,8,200,6,Zapallar,Petorca,,,,True,400,https://www.icasas.cl/propiedad/41ed-c015-19a381b-d88ad2e4f142-7095,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
13.693,,,,Quilpué,Valparaíso,,,,,120.000,https://www.icasas.cl/propiedad/71cb-bde5-196b73c-a8ea4ecb4037-7e05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.700,3,110,2,Quintero,Valparaíso,Sin amueblar,: true,110,True,844,https://www.icasas.cl/propiedad/2d8f-9f87-19b1da7-a24085b01c5-748c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.500,4,108,3,Algarrobo,San Antonio,Sin amueblar,,108,True,610,https://www.icasas.cl/propiedad/a48a-88f5-19bdbf6-e7c561078edd-7c6b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.000,7,564,5,Santo Domingo,San Antonio,Sin amueblar,,564,True,4.970,https://www.icasas.cl/propiedad/c8da-8a20-19bdbf5-7b2668f834bb-7d74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.400,3,90,2,Zapallar,Petorca,,,,True,240,https://www.icasas.cl/propiedad/715666,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
8.500,4,123,3,Santo Domingo,San Antonio,Amueblado,: true,123,True,5.000,https://www.icasas.cl/propiedad/aab9-bc1d-1998ae5-f9c5e81dcb33-7f54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12.084,94",7,280,5,El Quisco,San Antonio,Semi-amueblado,,,True,550,https://www.icasas.cl/propiedad/d97d-bd37-1914cae-e564a8f2ec0d-7e61,,True,,,True,,True,True,True,,True,True,,True,,True,,True,,,True,,True,,,,,,,True,True,,,,,,
14.500,6,240,3,Viña del Mar,Valparaíso,Sin amueblar,,240,True,590,https://www.icasas.cl/propiedad/7b60-af25-19becff-6eb8d011ed2e-741a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.800,3,200,3,Viña del Mar,Valparaíso,Sin amueblar,,200,True,400,https://www.icasas.cl/propiedad/4d9b-a3d8-19bdb2e-98cd3ec345c0-7e7e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.050,4,,3,Quintero,Valparaíso,Sin amueblar,,,,1.200,https://www.icasas.cl/propiedad/d51d-b434-19bdb25-4048186214dd-7368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.450,,365,,Villa Alemana,Valparaíso,,,365,,,https://www.icasas.cl/propiedad/a9ab-9045-196b73d-4ad091bcea1e-72a6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3.197,47",3,84,3,Quilpué,Valparaíso,Semi-amueblado,,,True,127,https://www.icasas.cl/propiedad/2b3c-9dcd-19abc87-2a1f73f7b033-7800,2.006,True,,,True,,True,True,,,,True,True,,,True,,,,,,,,,True,,,,,,,,,,,,
10.500,8,600,4,Viña del Mar,Valparaíso,Sin amueblar,,600,True,852,https://www.icasas.cl/propiedad/351c-9322-19bdbf1-cfd889ac96eb-75fb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.000,6,470,4,Viña del Mar,Valparaíso,Sin amueblar,,470,True,900,https://www.icasas.cl/propiedad/452-a57e-19bdbf1-4667c1a0aabe-746f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.800,5,160,3,Viña del Mar,Valparaíso,Sin amueblar,,160,True,300,https://www.icasas.cl/propiedad/d6ea-8f9f-19bdbf0-ddbd916ecfc3-796d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.500,4,187,3,Concón,Valparaíso,Sin amueblar,,187,True,330,https://www.icasas.cl/propiedad/72c2-80e2-19bdb26-6ddd5a9e3058-7238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.635,3,58,2,Zapallar,Petorca,,,,True,200,https://www.icasas.cl/propiedad/cf70-8e05-197f249-931e0f502f34-73de,,True,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,2,,,
"1.800,15",2,50,1,Villa Alemana,Valparaíso,,,,,90,https://www.icasas.cl/propiedad/f61c-82d8-19b4896-d0ad61847f67-75fd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1.684,34",2,50,1,Quilpué,Valparaíso,,,,,62,https://www.icasas.cl/propiedad/4800-b475-19b4890-3c38ce6b4e65-724f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.950,4,,4,Viña del Mar,Valparaíso,,,329,True,467,https://www.icasas.cl/propiedad/a7b9-b1c2-3799f409-9473296b552-3384,1.992,,,True,,True,True,True,,,True,True,True,,,,,True,True,,,,True,,,,,,True,,True,,,,,,
6.500,5,,2,Puchuncaví,Valparaíso,,,,True,,https://www.icasas.cl/propiedad/f1b7-a811-196ca2a-d459a8086eaa-7830,,True,,,,,,,True,,,,,True,True,True,,,,,,,True,,True,,,,,,,,,,,,
7.500,5,210,3,La Ligua,Petorca,Amueblado,,210,True,5.668,https://www.icasas.cl/propiedad/344e-b0f4-19bdbef-f7f47b06b8-7456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.900,5,210,5,Concón,Valparaíso,Sin amueblar,,,,503,https://www.icasas.cl/propiedad/3a2d-92a8-19bf9f4-e1b4fe7003d8-759f,1.990,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,True,True,,,,,,
"2.265,93",3,100,1,Viña del Mar,Valparaíso,Sin amueblar,: true,,,80,https://www.icasas.cl/propiedad/cd4d-962e-1989ab7-e9c9e94db7ea-72da,,True,,,,,True,,True,,True,True,,True,True,,,,,,,,,,True,,,,,,,,,,,,
15.000,3,140,2,Concón,Valparaíso,Sin amueblar,,140,True,750,https://www.icasas.cl/propiedad/d97a-8375-19bdb5a-6dcd2c2191a5-73f1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6.797,78",4,129,3,Viña del Mar,Valparaíso,Sin amueblar,,,True,177,https://www.icasas.cl/propiedad/786c-ac9b-4f98057a-78cc31084e81-44c4,,,,,,,True,,,,True,True,,,,True,,,,,,,,,,,,,,,,,,,,,
10.600,5,140,4,Olmué,Marga Marga,Sin amueblar,,140,True,2.370,https://www.icasas.cl/propiedad/c66-b0b8-19bdb61-77d6150ef846-7357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4.985,04",8,196,3,Algarrobo,San Antonio,Sin amueblar,,196,,,https://www.icasas.cl/propiedad/dc1c-99f3-19bdbee-c63d3fb65588-77e6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.100,4,115,3,Valparaíso,Valparaíso,Sin amueblar,: true,,True,411,https://www.icasas.cl/propiedad/7322-9c7c-19bdd49-6968062383c2-72e3,2.010,True,,,True,,True,True,True,True,True,True,True,True,True,True,,True,True,,,,True,,True,,,,,,True,,,,,,
"3.096,77",3,60,2,El Tabo,San Antonio,,: true,,True,300,https://www.icasas.cl/propiedad/496f-8fac-197ad06-dd0462613400-75e3,,True,,,,,,,,,,,True,,,True,,,,,,,,,,,,,,,,,,,,,
15.500,4,1.015,3,Puchuncaví,Valparaíso,,,,,1.015,https://www.icasas.cl/propiedad/ee89-92fb-1971df7-f1cecf47b46c-7adc,,,,,,,,,True,True,,,,,,,,True,True,,,,True,,,,,,,,,,,,,,
13.400,4,180,3,Puchuncaví,Valparaíso,,,,,1.000,https://www.icasas.cl/propiedad/f207-95c4-19287cb-455f16c53d12-7d44,,,,,,True,,,True,True,,,,,,,,,True,,,,True,,,,,,,,,,,,,,
"7.049,55",3,160,3,Olmué,Marga Marga,Semi-amueblado,: true,,True,5.000,https://www.icasas.cl/propiedad/8768-b174-19a37e2-3a8b3aa03137-771d,,True,,,True,True,True,,True,True,True,True,,True,,True,,True,True,,True,,True,,True,True,,True,True,,,,True,,,,
9.500,4,170,3,Viña del Mar,Valparaíso,,,,,134,https://www.icasas.cl/propiedad/da9a-ba57-19be79e-178b07582b42-7770,,,True,,,,,,True,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
7.900,4,165,3,Quintero,Valparaíso,Sin amueblar,: true,,True,600,https://www.icasas.cl/propiedad/69ec-9187-199e4f0-eaa1cbbc96ff-777b,2.025,True,,,,,True,True,True,True,True,True,True,True,True,True,,,,,,,True,,,,,True,True,,,True,,,,,
6.100,4,110,2,Valparaíso,Valparaíso,Sin amueblar,: true,,True,235,https://www.icasas.cl/propiedad/4822-b56b-19abce8-c8529552a786-7672,2.020,True,,,True,,True,,True,True,True,True,True,True,True,True,1,True,True,,,,True,,True,True,,,,,,,,,,,
14.000,4,244,4,Viña del Mar,Valparaíso,Sin amueblar,,244,True,476,https://www.icasas.cl/propiedad/f91-bd7a-19bdbef-47620bf256de-7ce1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.000,4,140,3,Santo Domingo,San Antonio,Sin amueblar,,140,True,460,https://www.icasas.cl/propiedad/f176-813a-19bdbec-6b66028d1b5f-7752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.835,4,"116,08",4,Puchuncaví,Valparaíso,,,,True,236,https://www.icasas.cl/propiedad/b8db-b826-1910fda-23432fbdf3a4-7c14,,,,,,,,,True,,,,,,,,,,True,,,,,,,,,,,,,,,,,,
11.899,5,318,4,Limache,Marga Marga,Sin amueblar,: true,,True,5.200,https://www.icasas.cl/propiedad/15e3-bc5c-19a9426-93047e9f6381-74c4,2.006,True,,True,True,True,True,True,True,True,True,True,,True,True,True,,True,True,,True,,True,,True,True,,True,,,True,True,True,,,,
9.990,4,140,3,Santo Domingo,San Antonio,,,,,1.200,https://www.icasas.cl/propiedad/6d60-b81f-199e4a8-1c55ee5dc282-7999,,,,,,,,,True,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
2.150,3,144,1,Calera,Quillota,,: true,,True,54,https://www.icasas.cl/propiedad/3656-9077-19478b6-62471c3bef95-7f69,2.000,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,
34.990,10,361,5,Viña del Mar,Valparaíso,,,,True,800,https://www.icasas.cl/propiedad/935c-80bb-1983b63-9722ba1a8372-7757,1.943,True,,,True,True,True,True,True,True,True,True,True,True,True,True,,,,True,True,,True,,True,,,,True,True,True,True,,,,,
11.000,3,130,2,Puchuncaví,Valparaíso,,,,,300,https://www.icasas.cl/propiedad/a851-aebb-1910fdb-6d1217cd574-7432,,,,,,,,,True,True,,,,,,,1,True,,,True,,True,,,,,,,,,,,,,,
10.500,4,5.400,3,Olmué,Marga Marga,,,260,True,5.400,https://www.icasas.cl/propiedad/9600-9ab1-1981ea6-873e14ca4384-7325,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
"5.966,94",3,130,3,Olmué,Marga Marga,Semi-amueblado,: true,,True,1.100,https://www.icasas.cl/propiedad/61bc-9474-19bd902-36a718cf05b8-7558,2.022,True,True,,True,True,True,True,True,True,True,True,,True,True,True,,True,True,,True,,True,,True,,,True,True,True,,,,,,,
11.900,5,188,3,Olmué,Marga Marga,Semi-amueblado,: true,,True,1.400,https://www.icasas.cl/propiedad/8c74-b476-197cdfd-c46b84f6f73-7463,,True,,,True,,True,True,True,True,True,True,,True,True,True,2,True,True,,True,True,True,,True,,,True,,,True,,,,,True,
"2.014,16",4,142,2,Valparaíso,Valparaíso,Sin amueblar,,142,,,https://www.icasas.cl/propiedad/b236-a6ec-264b0bda-21d1c5453453-334f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.000,5,300,6,Viña del Mar,Valparaíso,,,,True,480,https://www.icasas.cl/propiedad/432a-901d-19be61a-18daba74dc9f-7486,,,,,True,,,,True,,,,,,,,2,,True,,True,,True,,,,,,,True,,,,,,,
23.500,4,280,4,Puchuncaví,Valparaíso,,,,,2.500,https://www.icasas.cl/propiedad/9f2-9923-199abff-f600a3a1a006-7382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.490,5,480,6,Viña del Mar,Valparaíso,,,,True,480,https://www.icasas.cl/propiedad/5bb6-a6dd-19b7761-556dbe6b4865-7124,,,,,True,,,,True,,,,,,,,2,,True,,True,,True,,,,,,,,,,,,,,
"4.481,5",3,105,2,Olmué,Marga Marga,Semi-amueblado,,,True,2.500,https://www.icasas.cl/propiedad/99d3-b210-19b6eb3-1b60506f6db9-787f,,True,,,True,,,True,True,,True,True,,True,True,True,,True,,,,,True,,True,,,,,,True,,,,,,
"8.056,63",5,200,3,Olmué,Marga Marga,Amueblado,,,True,5.250,https://www.icasas.cl/propiedad/136d-9c32-19b6eac-3e576466b97c-73d9,,True,,,True,,True,True,True,True,True,True,True,True,True,True,,True,True,,True,,True,,True,,,True,True,,True,,,,,,
12.000,7,233,5,Olmué,Marga Marga,Semi-amueblado,,,True,1.120,https://www.icasas.cl/propiedad/618f-bc18-19b6ea4-4d1498aa731a-780f,,True,True,,True,,True,True,True,True,True,True,True,True,True,True,,True,True,,True,,True,,True,,,True,True,,True,,,,,,
9.500,3,230,3,Olmué,Marga Marga,Semi-amueblado,,,True,1.000,https://www.icasas.cl/propiedad/b459-9ec4-19a7c8f-19e3c2688b73-73c2,,True,,,True,,True,True,True,True,True,True,,True,True,True,1,True,True,,True,,True,,True,,,True,,,,,,,,,
"3.524,77",3,107,2,Olmué,Marga Marga,Sin amueblar,,,True,211,https://www.icasas.cl/propiedad/c3f1-8e0f-19a7148-ca42949bae97-70a4,,True,,,,,,,True,,True,True,,True,True,True,,True,,,True,,True,,True,,,,True,,,,,,,,
41.499,6,260,5,Concón,Valparaíso,,,,True,1.630,https://www.icasas.cl/propiedad/d9bc-a760-1983b47-305a99cbdc34-7331,1.963,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,,True,,True,,True,,,True,True,True,True,True,,,,,
32.999,7,480,8,Concón,Valparaíso,,,,True,1.200,https://www.icasas.cl/propiedad/9ec1-8988-1983b3f-9e540b4b5b3c-7178,2.025,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,,True,,True,,True,,True,True,True,True,True,True,,,,,
22.800,6,590,4,Olmué,Marga Marga,,,,True,10.000,https://www.icasas.cl/propiedad/73e9-8ae5-19844c6-ca9590ce4461-72df,2.005,True,,True,True,True,True,True,True,True,,,True,True,True,True,,True,True,,True,,True,,True,,True,True,True,True,True,True,,,,,
11.799,3,163,3,Viña del Mar,Valparaíso,,,,True,215,https://www.icasas.cl/propiedad/d0e5-a9d2-1983b6b-49ede25a1204-74d7,2.015,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,,,True,,True,,True,,True,,,,True,True,,True,,,,,
11.538,4,308,3,Puchuncaví,Valparaíso,,,,,700,https://www.icasas.cl/propiedad/9f87-bf79-19355cb-2deb78719cbe-7279,,,,,,True,,,True,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
20.000,5,356,5,Concón,Valparaíso,Sin amueblar,,,,635,https://www.icasas.cl/propiedad/d19-a9e1-758dd304-4c7ab2a72881-4c9b,,,,,,,,,,,,True,,,,,,True,,,,,,,,,,,,,,,,,,,
15.300,4,140,4,Concón,Valparaíso,,,,True,270,https://www.icasas.cl/propiedad/ac60-b78c-19a56fd-b32d2d450efb-76ae,2.021,,,,True,,,,True,,,,,,,,1,,True,,True,,True,,,,,,,,True,,,,,,
14.000,4,"177,24",2,Viña del Mar,Valparaíso,,,,,500,https://www.icasas.cl/propiedad/a536-9ad6-194ba30-51a1c8d3ab34-731a,1.935,,,,True,,,,,,,,,,,,,,,,,,True,,,,,,,,True,,,,,,
12.000,4,247,4,Viña del Mar,Valparaíso,,,,True,480,https://www.icasas.cl/propiedad/a2b-a8d8-19b9648-b683a97832f-75e9,,,,,,True,,,True,,,,,,,,,,,,,,True,,,,,,,True,True,,,,,,
"5.010,21",3,160,3,Concón,Valparaíso,Sin amueblar,,160,True,1.415,https://www.icasas.cl/propiedad/9dbf-b5ee-19bdb5d-344c0aa1ce15-7534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.089,7,370,6,Valparaíso,Valparaíso,Sin amueblar,,370,,204,https://www.icasas.cl/propiedad/65b-a664-19bdb60-e62bd1cb01cd-7e4b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
26.500,4,346,5,Viña del Mar,Valparaíso,,,,True,1.084,https://www.icasas.cl/propiedad/ecc6-b1ac-199798b-e235850452fe-7eba,,,,,True,True,,,True,,,,,,,,,True,,,True,,True,,,,,,,,True,,,,,,
8.900,3,180,3,Quintero,Valparaíso,Sin amueblar,,180,,500,https://www.icasas.cl/propiedad/e6f4-8e0d-19bdbf7-8a9eb99bb68d-7e8d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.900,3,126,1,Viña del Mar,Valparaíso,,,,True,709,https://www.icasas.cl/propiedad/d6b4-9803-19bde60-be5f3db654b-7a5a,,,,,True,,,,True,,,,,,,,,True,True,,,,True,,,,,,,True,,,,,,,
12.450,4,"236,5",4,Viña del Mar,Valparaíso,Sin amueblar,,"236,5",True,278,https://www.icasas.cl/propiedad/cbe8-82b1-19bdb5e-3430331388fa-78b3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7.049,55",4,161,2,Villa Alemana,Valparaíso,Sin amueblar,: true,,True,386,https://www.icasas.cl/propiedad/a9fb-9587-19aa878-408e6badf348-72a1,2.000,True,,True,True,True,True,True,True,,True,True,True,True,True,True,,True,True,True,True,,True,,,,,,,,,True,,,,,
7.700,4,206,4,Concón,Valparaíso,,: true,206,,1.256,https://www.icasas.cl/propiedad/c55f-b0b9-e2ac889-50ff81a79e54-4dcf,2.025,,,,,,,,,,,,,,True,,,,,,,,True,Excelente,,,,,,,,,,,,,
10.119,3,161,4,Viña del Mar,Valparaíso,,,,True,350,https://www.icasas.cl/propiedad/1b83-a9d6-19852b1-4295711651ee-7206,,True,,True,True,,True,True,True,True,True,True,True,True,True,True,,True,,,,,True,,True,,,,True,True,,,,,,,
11.000,3,140,3,Viña del Mar,Valparaíso,Sin amueblar,: true,140,True,150,https://www.icasas.cl/propiedad/ebe5-a3e1-19bdb5a-95577fdd1e2-75b3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6.923,66",3,109,2,Viña del Mar,Valparaíso,Sin amueblar,,109,True,198,https://www.icasas.cl/propiedad/9b3d-98b6-19bdb25-1cf31e7da508-7263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8.811,93",6,500,3,Valparaíso,Valparaíso,,,,True,900,https://www.icasas.cl/propiedad/89f2-837c-19b7761-e3bed1a5425b-741a,,,,,,,,,True,,,,,,,,,,,,,,True,,,,,,,True,,,,,,,
7.900,4,142,3,Concón,Valparaíso,Sin amueblar,: true,,,125,https://www.icasas.cl/propiedad/940155,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,
9.990,4,350,4,Zapallar,Petorca,,,,,,https://www.icasas.cl/propiedad/bb90-8b40-198e329-eea4792c1aed-79c0,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
7.677,3,167,2,Los Andes,Los Andes,,,,True,158,https://www.icasas.cl/propiedad/ac9e-ba67-192d619-59ad8144faaa-7f1f,,,,,,,,,,,,,,,,,1,,True,,,,True,,,,,,,,,,,,,,
"7.175,43",6,173,4,Olmué,Marga Marga,Sin amueblar,,,True,936,https://www.icasas.cl/propiedad/a9c4-9404-197384a-12cc750ea4f6-7a1a,2.004,True,,,True,True,True,True,,,,True,True,True,,True,1,True,True,,True,,True,,,,,,,,True,,,,,,
9.500,4,184,4,Concón,Valparaíso,Sin amueblar,: true,,True,200,https://www.icasas.cl/propiedad/f3b0-8efe-19a8359-bccb68f4a927-72f2,,True,,,,,True,True,True,True,True,True,,True,True,True,,True,,,True,True,True,,,,,True,,,,,,,,,
"1.636,5",2,120,1,Los Andes,Los Andes,Sin amueblar,: true,,True,120,https://www.icasas.cl/propiedad/db6b-9637-19b95ac-52bb1e5866a4-772e,,True,,,,,,,,,,True,,True,,True,,,,,,,,,,,,,,,,,,,,,
20.000,5,356,6,Viña del Mar,Valparaíso,Sin amueblar,,,True,635,https://www.icasas.cl/propiedad/f64b-bd79-6ef25b80-1a560f58aaf6-43a9,,,,,True,True,True,True,True,True,True,True,,,,True,,True,True,,True,,True,,,,,,,,,,,,,,
11.800,5,272,4,Viña del Mar,Valparaíso,Sin amueblar,,272,True,626,https://www.icasas.cl/propiedad/3b84-9b5a-1910884-ac2f4270adc8-7f9d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.900,3,300,3,Zapallar,Petorca,,,,,,https://www.icasas.cl/propiedad/f832-ab0c-199c098-cdaa49f4986e-7ceb,,,,,,,,,True,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
10.500,4,184,4,Concón,Valparaíso,Sin amueblar,: true,,True,100,https://www.icasas.cl/propiedad/912127,,,,,,,,True,True,,,,,,,,,True,,,True,,True,,,,,,,,,,,,,,
