Precio UF,N Habitaciones,N Baños,Comuna,Provincia,Amueblado,Estacionamiento,Año de construcción,Aire Acondicionado,Alarma,Bodega,Chimenea,Placares,Cocina Equipada,Terraza,Portero,Centros comerciales,Cerca de Escuelas,Cocina Integrada,Internet,Patio,Aseos,Piscina,Quincho,Cerca de estación de tren,Calefacción,Jacuzzi,Jardín,Área juegos infantiles,Gimnasio,Seguridad 24 horas,Vista panorámica,Balcón,Pieza de Servicio,Acceso a discapacitados,Cancha de Tenis,Sauna,Ascensor,Area Construida,Area Terreno,Casa,Terreno,Ratio Hab/Baños
10500.0,4.0,3.0,Otras,San Felipe de Aconcagua,Sin amueblar,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200.0,270.0,1,0,1.3333333333333333
18000.0,4.0,4.0,Zapallar,Petorca,Amueblado,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,838.0,154.0,1,0,1.0
18000.0,4.0,4.0,Otras,Petorca,Amueblado,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,837.0,155.0,1,0,1.0
8750.0,3.0,5.0,Concón,Valparaíso,Sin amueblar,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400.0,397.0,1,0,0.6
9900.0,5.0,5.0,Otras,Valparaíso,Sin amueblar,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500.0,280.0,1,0,1.0
7500.0,3.0,3.0,Concón,Valparaíso,Sin amueblar,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500.0,140.0,1,0,1.0
8600.0,6.0,6.0,Otras,San Antonio,Amueblado,1,,0,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,5500.0,240.0,1,0,1.0
7800.0,20.0,3.0,Valparaíso,Valparaíso,Sin amueblar,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,773.0,398.0,1,0,6.666666666666667
17000.0,6.0,3.0,Viña del Mar,Valparaíso,,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,497.0,275.0,1,0,2.0
7049.55,3.0,1.0,Viña del Mar,Valparaíso,,1,1980.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.0,136.0,1,0,3.0
6100.0,4.0,3.0,Otras,San Antonio,Sin amueblar,1,1960.0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,450.0,122.0,1,0,1.3333333333333333
10000.0,11.0,7.0,Otras,San Antonio,Amueblado,1,,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1280.0,198.0,1,0,1.5714285714285714
5010.21,8.0,4.0,Valparaíso,Valparaíso,,0,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334.0,228.0,1,0,2.0
2140.04,3.0,1.0,Villa Alemana,Valparaíso,,0,1975.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.0,78.0,1,0,3.0
5561.0,4.0,1.0,Valparaíso,Valparaíso,Sin amueblar,0,1950.0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,500.0,200.0,1,0,4.0
3726.19,3.0,2.0,Otras,Quillota,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,227.0,1,0,1.5
4450.0,3.0,2.0,Otras,Marga Marga,,1,,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,900.0,76.0,1,0,1.5
